Date,BAJAJ-AUTO.NS,HEROMOTOCO.NS,zscore,s1Buy,s1Sell,s1Profit,s1Performance,s2buy,s2Sell,s2Profit,s2Performance
2020-06-18,2346.1201171875,2144.123291015625,-3.5048040174071007,,,,-161.7840576171875,,,,320.644775390625
2020-06-19,2342.6162109375,2135.87353515625,-2.97492552663843,,,,-161.7840576171875,,,,320.644775390625
2020-06-22,2501.514892578125,2187.32421875,0.8676399632179125,,2501.514892578125,69.5947265625,-92.1893310546875,2187.32421875,,-65.23193359375,255.412841796875
2020-06-23,2507.120849609375,2192.990966796875,0.7547960689319123,,,,-92.1893310546875,,,,255.412841796875
2020-06-24,2467.79052734375,2260.9423828125,-3.249579196121044,,,,-92.1893310546875,,,,255.412841796875
2020-06-25,2470.59326171875,2320.68896484375,-4.983897357281425,2470.59326171875,,,-92.1893310546875,,2320.68896484375,,255.412841796875
2020-06-26,2511.89501953125,2303.236328125,-2.534291470884622,,,,-92.1893310546875,,,,255.412841796875
2020-06-29,2504.7998046875,2270.23486328125,-1.3260745587169578,,,,-92.1893310546875,,,,255.412841796875
2020-06-30,2475.4990234375,2309.12939453125,-3.576207990241548,,,,-92.1893310546875,,,,255.412841796875
2020-07-01,2489.514404296875,2309.5830078125,-2.790920217385761,,,,-92.1893310546875,,,,255.412841796875
2020-07-02,2522.187744140625,2421.958740234375,-5.3006089862510795,,,,-92.1893310546875,,,,255.412841796875
2020-07-03,2568.65673828125,2482.56689453125,-5.305916574062336,,,,-92.1893310546875,,,,255.412841796875
2020-07-06,2537.735595703125,2512.21337890625,-6.664213072579449,,,,-92.1893310546875,,,,255.412841796875
2020-07-07,2493.9814453125,2492.585205078125,-6.759661215914582,,,,-92.1893310546875,,,,255.412841796875
2020-07-08,2498.62451171875,2465.295654296875,-5.131963964457272,,,,-92.1893310546875,,,,255.412841796875
2020-07-09,2524.508544921875,2440.136474609375,-3.043741181920647,,,,-92.1893310546875,,,,255.412841796875
2020-07-10,2535.63330078125,2430.888916015625,-2.1074164345341497,,,,-92.1893310546875,,,,255.412841796875
2020-07-13,2540.27587890625,2438.55029296875,-2.0112996875876727,,,,-92.1893310546875,,,,255.412841796875
2020-07-14,2539.837890625,2367.96923828125,0.5252818709010948,,2539.837890625,69.24462890625,-22.9447021484375,2367.96923828125,,-47.2802734375,208.132568359375
2020-07-15,2577.10986328125,2400.78955078125,0.540814894607016,,,,-22.9447021484375,,,,208.132568359375
2020-07-16,2577.328857421875,2461.306640625,-1.5093345565696972,,,,-22.9447021484375,,,,208.132568359375
2020-07-17,2623.491943359375,2505.9580078125,-1.3837422231892642,2623.491943359375,,,-22.9447021484375,,2505.9580078125,,208.132568359375
2020-07-20,2630.10546875,2593.08447265625,-3.7311006514834753,,,,-22.9447021484375,,,,208.132568359375
2020-07-21,2631.638427734375,2601.243896484375,-3.5731468640857247,,,,-22.9447021484375,,,,208.132568359375
2020-07-22,2615.08251953125,2509.5390625,-0.9254334091728558,,,,-22.9447021484375,,,,208.132568359375
2020-07-23,2655.989990234375,2512.440185546875,0.30834321348461485,,2655.989990234375,32.498046875,9.5533447265625,2512.440185546875,,-6.482177734375,201.650390625
